attendance,away_score,away_team,date,home_score,home_team,margin,round,season,umpires,url,venue
41648,92,Melbourne,"Wed, 8-Mar-2000 7:40 PM (6:40 PM)",94,Richmond,2,1,2000,"Gavin Dore (223), Andrew Coates (186), Mark McKenzie (83)",http://afltables.com/afl/stats/games/2000/111420000308.html,M.C.G.
43012,62,Port Adelaide,"Thu, 9-Mar-2000 8:15 PM (7:15 PM)",156,Essendon,94,1,2000,"Brett Allen (150), Scott McLaren (100), Mark Nash (127)",http://afltables.com/afl/stats/games/2000/051320000309.html,Docklands
20580,154,West Coast,"Fri, 10-Mar-2000 7:40 PM (6:40 PM)",111,Kangaroos,-43,1,2000,"Darren Goldspink (202), Steven Hanley (57), Michael Vozzo (14)",http://afltables.com/afl/stats/games/2000/121820000310.html,M.C.G.
37222,131,Western Bulldogs,"Sat, 11-Mar-2000 2:50 PM (2:20 PM)",108,Adelaide,-23,1,2000,"Bryan Sheehan (285), Darren McCauley (52), Troy Burton (36)",http://afltables.com/afl/stats/games/2000/010720000311.html,Football Park
19777,129,Geelong,"Sat, 11-Mar-2000 5:40 PM (7:40 PM)",107,Fremantle,-22,1,2000,"Stephen McBurney (80), Martin Ellis (59), Vince Sercia (45)",http://afltables.com/afl/stats/games/2000/080920000311.html,Subiaco
31440,134,Sydney,"Sun, 12-Mar-2000 7:40 PM (6:40 PM)",100,St Kilda,-34,1,2000,"John Harvey (125), Stuart Wenn (57), Matthew Norden (63)",http://afltables.com/afl/stats/games/2000/151620000312.html,Docklands
22374,112,Brisbane Lions,"Mon, 13-Mar-2000 2:10 PM (1:10 PM)",152,Carlton,40,1,2000,"Chris Mitchell (278), Ray Kelsey (12), Derek Humphery-Smith (42)",http://afltables.com/afl/stats/games/2000/031920000313.html,Princes Park
53776,140,Collingwood,"Mon, 13-Mar-2000 2:10 PM (1:10 PM)",86,Hawthorn,-54,1,2000,"Hayden Kennedy (233), Justin Schmitt (16), Shane McInerney (74)",http://afltables.com/afl/stats/games/2000/041020000313.html,M.C.G.
49521,87,Richmond,"Thu, 16-Mar-2000 7:40 PM (6:40 PM)",130,Essendon,43,2,2000,"Darren Goldspink (203), Steven Hanley (58), Corin Rowe (14)",http://afltables.com/afl/stats/games/2000/051420000316.html,M.C.G.
23348,120,Kangaroos,"Fri, 17-Mar-2000 7:40 PM (6:40 PM)",145,Melbourne,25,2,2000,"Bryan Sheehan (286), Darren McCauley (53), Kieron Nicholls (14)",http://afltables.com/afl/stats/games/2000/111220000317.html,M.C.G.
20476,99,St Kilda,"Sat, 18-Mar-2000 2:10 PM (1:10 PM)",139,Geelong,40,2,2000,"Chris Mitchell (279), David Howlett (270), Derek Humphery-Smith (43)",http://afltables.com/afl/stats/games/2000/091520000318.html,Kardinia Park
24695,125,Fremantle,"Sat, 18-Mar-2000 7:10 PM (6:40 PM)",87,Port Adelaide,-38,2,2000,"Hayden Kennedy (234), Justin Schmitt (17), Shane McInerney (75)",http://afltables.com/afl/stats/games/2000/081320000318.html,Football Park
33076,92,Adelaide,"Sun, 19-Mar-2000 2:10 PM (1:10 PM)",103,Collingwood,11,2,2000,"Stephen McBurney (81), Martin Ellis (60), Darren Morris (12)",http://afltables.com/afl/stats/games/2000/010420000319.html,M.C.G.
21161,112,Hawthorn,"Sun, 19-Mar-2000 2:10 PM (1:10 PM)",154,Carlton,42,2,2000,"John Harvey (126), Stuart Wenn (58), Ray Kelsey (13)",http://afltables.com/afl/stats/games/2000/031020000319.html,Princes Park
24460,139,Brisbane Lions,"Sun, 19-Mar-2000 7:40 PM (6:40 PM)",110,Western Bulldogs,-29,2,2000,"Gavin Dore (224), Andrew Coates (187), Mark McKenzie (84)",http://afltables.com/afl/stats/games/2000/071920000319.html,Docklands
38127,82,Sydney,"Sun, 19-Mar-2000 5:40 PM (7:40 PM)",70,West Coast,-12,2,2000,"Brett Allen (151), Scott McLaren (101), Mark Nash (128)",http://afltables.com/afl/stats/games/2000/161820000319.html,Subiaco
37543,170,Kangaroos,"Fri, 24-Mar-2000 7:40 PM (6:40 PM)",134,Richmond,-36,3,2000,"Hayden Kennedy (235), Shane McInerney (76), Justin Schmitt (18)",http://afltables.com/afl/stats/games/2000/121420000324.html,M.C.G.
20374,103,Brisbane Lions,"Sat, 25-Mar-2000 2:10 PM (1:10 PM)",110,Hawthorn,7,3,2000,"Scott McLaren (102), Troy Burton (37), Kieron Nicholls (15)",http://afltables.com/afl/stats/games/2000/101920000325.html,M.C.G.
39179,111,Geelong,"Sat, 25-Mar-2000 7:10 PM (6:40 PM)",100,Adelaide,-11,3,2000,"Darren Goldspink (204), Steven Hanley (59), Michael Vozzo (15)",http://afltables.com/afl/stats/games/2000/010920000325.html,Football Park
21215,116,West Coast,"Sat, 25-Mar-2000 7:40 PM (6:40 PM)",116,St Kilda,0,3,2000,"Gavin Dore (225), Andrew Coates (188), Matthew Norden (64)",http://afltables.com/afl/stats/games/2000/151820000325.html,Docklands
82669,87,Carlton,"Sun, 26-Mar-2000 2:10 PM",160,Collingwood,73,3,2000,"Chris Mitchell (280), David Howlett (271), Derek Humphery-Smith (44)",http://afltables.com/afl/stats/games/2000/030420000326.html,M.C.G.
18134,94,Port Adelaide,"Sun, 26-Mar-2000 2:10 PM",141,Western Bulldogs,47,3,2000,"John Harvey (127), Stuart Wenn (59), Ray Kelsey (14)",http://afltables.com/afl/stats/games/2000/071320000326.html,Docklands
26920,114,Melbourne,"Sun, 26-Mar-2000 2:10 PM",126,Sydney,12,3,2000,"Stephen McBurney (82), Mark McKenzie (85), Vince Sercia (46), Troy Burton (38)",http://afltables.com/afl/stats/games/2000/111620000326.html,S.C.G.
27230,124,Essendon,"Sun, 26-Mar-2000 6:40 PM (8:40 PM)",88,Fremantle,-36,3,2000,"Bryan Sheehan (287), Mathew James (13), Darren Morris (13)",http://afltables.com/afl/stats/games/2000/050820000326.html,Subiaco
34623,99,Geelong,"Fri, 31-Mar-2000 7:40 PM",104,Kangaroos,5,4,2000,"Stephen McBurney (83), Scott McLaren (103), Martin Ellis (61)",http://afltables.com/afl/stats/games/2000/091220000331.html,Docklands
30576,59,Carlton,"Sat, 1-Apr-2000 2:10 PM",98,Western Bulldogs,39,4,2000,"Bryan Sheehan (288), Darren McCauley (54), Troy Burton (39)",http://afltables.com/afl/stats/games/2000/030720000401.html,Docklands
46889,137,Essendon,"Sat, 1-Apr-2000 2:10 PM",90,Hawthorn,-47,4,2000,"Hayden Kennedy (236), Mathew James (14), Mark Nash (129)",http://afltables.com/afl/stats/games/2000/051020000401.html,M.C.G.
34687,106,Collingwood,"Sat, 1-Apr-2000 7:40 PM",101,Sydney,-5,4,2000,"Gavin Dore (226), Andrew Coates (189), Darren Morris (14)",http://afltables.com/afl/stats/games/2000/041620000401.html,S.C.G.
26008,73,Adelaide,"Sat, 1-Apr-2000 8:10 PM (10:10 PM)",187,West Coast,114,4,2000,"Chris Mitchell (281), David Howlett (272), Matthew Norden (65)",http://afltables.com/afl/stats/games/2000/011820000401.html,W.A.C.A.
